ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
1;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 50";"119618 50 лет Октября улица, д. 19 А";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 439-31-17; (495) 435-59-75";"ds50.mskzapad.ru";"ds_50@mail.ru";"37,413291";"55,653611";"86660729";
2;"Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 72";"121108 г.Москва, ул. Кастанаевская, д. 25, стр. 2";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"144-65-63";"dskvp72.mskzapad.ru";"dou72@inbox.ru";"37,483654";"55,735138";"86660730";
3;"Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 77";"121108, г. Москва, ул. Герасима Курина, д. 30, корпус 2";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"144-07-75";"dskvp77.mskzapad.ru";"detskysad77@mail.ru";"37,466655";"55,73124";"86660731";
4;"Государственное бюджетное образовательное учреждение города Москвы  детский сад № 167";"119415 г.Москва, ул. Лобачевского, д. 30";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"432-08-52";"ds167.mskzapad.ru";"dou167-70@mail.ru";"37,505642";"55,668969";"86660732";
5;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 184";"121108 г.Москва, ул.Олеко Дундича, д. 41";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"146-41-00";"ds184.mskzapad.ru";"dou 184@bk.ru";"37,479227";"55,736569";"86660733";
6;"Государственное бюджетное образовательное учреждение города Москвы детский сад  комбинированного вида № 200";"121354, г.Москва, Можайское шоссе, д. 38, корп. 6";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 446-17-22";"dskv200.mskzapad.ru";"gou200@bk.ru";"37,409862";"55,719252";"86660734";
7;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 216";"119415 г.Москва, Ленинский проспект, д. 118";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"432-46-22";"dskv216.mskzapad.ru";"gou216@yandex.u";"37,510115";"55,668482";"86660735";
8;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 251";"121552 г.Москва, Рублевское шоссе, д. 95, корп. 2";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"141-50-01";"ds251.mskzapad.ru";"GOU.251@gmail.com";"37,424596";"55,74102";"86660736";
9;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 333";"119590, г.Москва, ул. Довженко, д. 8";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 147-91-03";"ds333.mskzapad.ru";"dou333@bk.ru";"37,512477";"55,721374";"86660737";
10;"Государственное бюджетное образовательное учреждение города Москвы детский сад для детей раннего возраста № 398";"121096 Москва, ул.Василисы Кожиной, д.20 стр.1";"Западный административный округ";"район Филёвский Парк";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад для детей раннего возраста";"(499) 144-37-23; (499) 142-05-84; (499) 142-05-85";"dsrv398.mskzapad.ru";"detsad398@mail.ru";"37,492182";"55,73525";"86660738";
